DisplayName,Description,MailNickName,Visibility,Owner
News,"สำนักข่าว, เนื้อหาข่าว, สนับสนุนข่าว",,Private,khotchapann@becworld.com
New Content & Partnership,สำนักNew Content & Partnership,,Private,khotchapann@becworld.com
Broadcasting,สำนักออกอากาศ,,Private,khotchapann@becworld.com
Arts,สำนักศิลปกรรม,,Private,khotchapann@becworld.com
Electrical,สำนักไฟฟ้ากำลัง,,Private,khotchapann@becworld.com
Project Management,สำนักProject Management,,Private,khotchapann@becworld.com
Program,สำนักรายการ,,Private,khotchapann@becworld.com
Engineering Planning,สำนักแผนงานวิศวกรรม,,Private,khotchapann@becworld.com
Transmission Engineering,สำนักวิศวกรรม,,Private,khotchapann@becworld.com
Technical Television,สำนักเทคนิคโทรทัศน์,,Private,khotchapann@becworld.com
Commercial Strategy,สำนักCommercial Strategy,,Private,khotchapann@becworld.com
Strategy & Business Development,สำนักStrategy & Business Development,,Private,khotchapann@becworld.com
Strategy,สำนักวางแผนกลยุทธ์,,Private,khotchapann@becworld.com
Production,สำนักผลิตรายการ,,Private,khotchapann@becworld.com
Human Resources,สำนักทรัพยากรบุคคล,,Private,khotchapann@becworld.com
Radio Broadcasting Station,ฝ่ายเอฟ.เอ็ม / สำนักวิทยุกระจายเสียง,,Private,khotchapann@becworld.com
Advertising,สำนักโฆษณา,,Private,khotchapann@becworld.com
Sales & Marketing,สำนักการขายและการตลาด,,Private,khotchapann@becworld.com
Marketing,สำนักการตลาด,,Private,khotchapann@becworld.com
Event & Activation,สำนักEvent&Activation,,Private,khotchapann@becworld.com
Event and Production,สำนักกิจกรรมพิเศษและส่งเสริมการขาย,,Private,khotchapann@becworld.com
Administration,สำนักธุรการ,,Private,khotchapann@becworld.com
Public Relations,สำนักประชาสัมพันธ์,,Private,khotchapann@becworld.com
Legal,สำนักกฎหมาย,,Private,khotchapann@becworld.com
Corporate Affairs,สำนักกิจการองค์กร,,Private,khotchapann@becworld.com
Internal Audit,สำนักสำนักตรวจสอบภายใน,,Private,khotchapann@becworld.com
Accounting,สำนักบัญชี,,Private,khotchapann@becworld.com
Finance,สำนักการเงิน,,Private,khotchapann@becworld.com
Investor Relations,สำนักนักลงทุนสัมพันธ์,,Private,khotchapann@becworld.com
BECIT_Finance & Accounting,สำนักFinance & Accounting Department,,Private,khotchapann@becworld.com
BECIT_Finance Accounting & Administrative,สำนักFinance Accounting & Administrative,,Private,khotchapann@becworld.com
BECi_Branding & Communication,สำนักBranding & Communication,,Private,khotchapann@becworld.com
BECi_Business Development,สำนักBusiness Development,,Private,khotchapann@becworld.com
BECi_Content Lead Marketing,สำนักContent Lead Marketing,,Private,khotchapann@becworld.com
BECi_Mello Original Content,สำนักMello Original Content,,Private,khotchapann@becworld.com
BECi_Platform Management,สำนักPlatform Management,,Private,khotchapann@becworld.com
BECi_Video & Partnership Content,สำนักVideo and Partnership Content,,Private,khotchapann@becworld.com
BECi_Finance & Administration,สำนักการเงินและบริหารงานทั่วไป,,Private,khotchapann@becworld.com
BECi_Executive,สำนักบริหาร,,Private,khotchapann@becworld.com
BECi_Product Development,สำนักพัฒนาผลิตภัณฑ์,,Private,khotchapann@becworld.com
BECi_Media Solution,สำนักมีเดียโซลูชั่น,,Private,khotchapann@becworld.com
BEC Asset_Account,สำนักAccount,,Private,khotchapann@becworld.com
BEC Asset_Administration,สำนักAdministration,,Private,khotchapann@becworld.com
BEC Asset_Management,สำนักบริหาร,,Private,khotchapann@becworld.com
